=== Command: top -b -n1

top - 01:56:26 up  6:58,  3 users,  load average: 0.00, 0.05, 0.14
Tasks: 223 total,   1 running, 222 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  2.2 sy,  0.0 ni, 97.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  15869.9 total,   4585.8 free,   3581.9 used,   8072.4 buff/cache     
MiB Swap:   4096.0 total,   4095.2 free,      0.8 used.  12288.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2682 root      20   0     220      0      0 S   0.0   0.0   0:00.00 s6-supe+
   2683 root      20   0     220      0      0 S   0.0   0.0   0:00.00 s6-supe+
   2684 root      20   0     220      0      0 S   0.0   0.0   0:00.00 s6-supe+
   2691 root      20   0     208      0      0 S   0.0   0.0   0:00.00 s6-ipcs+
   2720 root      20   0    4700   3456   3328 S   0.0   0.0   0:00.00 bash
   2774 root      20   0    4700   1996   1664 S   0.0   0.0   0:00.00 bash
   2775 root      20   0 2745464 746724 158976 S   0.0   4.6   3:49.47 photopr+
   2934 azizelo   20   0   20.7g 117924  59904 S   0.0   0.7   0:35.55 node
   4788 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6334 root      20   0  598168  44268  37196 S   0.0   0.3   0:03.16 fwupd
   6341 root      20   0  314248   9216   7552 S   0.0   0.1   0:00.06 upowerd
   6873 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6876 root      20   0   90876  17684  14192 S   0.0   0.1   0:00.15 smbd[19+
   8391 root      20   0  617436  39112  20096 S   0.0   0.2   0:27.23 fail2ba+
   8667 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
  19857 root      20   0       0      0      0 I   0.0   0.0   0:02.36 kworker+
  20999 root      20   0       0      0      0 I   0.0   0.0   0:01.95 kworker+
  42250 root      20   0       0      0      0 I   0.0   0.0   0:00.37 kworker+
  46182 root      20   0   14736  10112   8576 S   0.0   0.1   0:00.02 sshd
  46186 azizelo   20   0   20688  11648   9216 S   0.0   0.1   0:00.20 systemd
  46188 azizelo   20   0   21156   3520   1792 S   0.0   0.0   0:00.00 (sd-pam)
  46456 azizelo   20   0   14960   7072   5120 S   0.0   0.0   0:00.00 sshd
  46457 azizelo   20   0    8780   5504   3840 S   0.0   0.0   0:00.02 bash
  47169 azizelo   20   0    2800   1792   1792 S   0.0   0.0   0:00.00 sh
  47173 azizelo   20   0   11.3g 179556  54784 S   0.0   1.1   0:17.37 node
  47210 azizelo   20   0 1225300  78988  49280 S   0.0   0.5   0:04.80 node
  48513 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  49920 root      20   0       0      0      0 I   0.0   0.0   0:00.30 kworker+
  51477 root      20   0   14736  10112   8576 S   0.0   0.1   0:00.01 sshd
  51550 azizelo   20   0   15384   7224   4992 S   0.0   0.0   0:02.83 sshd
  51551 azizelo   20   0    2800   1920   1792 S   0.0   0.0   0:00.00 sh
  51569 azizelo   20   0   39368  18644  13696 S   0.0   0.1   0:04.91 code-bf+
  51605 azizelo   20   0 1262980  60612  48896 S   0.0   0.4   0:00.57 node
  51761 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  51822 root      20   0       0      0      0 I   0.0   0.0   0:00.34 kworker+
  52990 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
